gap,helixpair_centered_geometry,no_helical_centered_geometry
-2,0.045012,0.044854
-1,0.051809,-0.074283
0,0.067957,-0.15207
3,-0.44166,-0.17031
4,-0.282142,-0.146891
5,-0.107066,-0.101312
6,-0.107834,-0.049983
7,-0.275297,0.000974
10,0.363945,0.195918
11,0.468858,0.229893
12,0.216419,0.223211
