split_name,phase,metric_name,helixpair_metric,ci_low,ci_high,bh_fdr,seed,seed_count,seed_list,seed_aggregation
cross_biosample_test_hepg2,phase5,auprc,0.8933415122764025,-0.0025514117119815,0.0335047070799804,0.0605096372029941,aggregate,5,"11,17,23,29,47",mean
cross_biosample_test_k562,phase5,auprc,0.8356227570947641,0.0340748864393951,0.1058994187445676,0.0002232111717191,aggregate,5,"11,17,23,29,47",mean
default,phase5,auprc,0.8605981588442948,-0.0019479085027905,0.0318790355221346,0.0462840765180297,aggregate,5,"11,17,23,29,47",mean
cross_biosample_test_hepg2,phase5,auroc,0.8669034608378872,-0.0099503642900205,0.0256716209506378,0.2127574485102979,aggregate,5,"11,17,23,29,47",mean
cross_biosample_test_k562,phase5,auroc,0.8143332767434405,0.0160793044583424,0.0846718555574139,0.0050171783825053,aggregate,5,"11,17,23,29,47",mean
default,phase5,auroc,0.8347904250293974,-0.005940734013743,0.0270125773034811,0.1184443962271375,aggregate,5,"11,17,23,29,47",mean
